,movie_title,genres,audience_rating,tomatometer_rating
148,lost horizon,musical & performing arts,45.0,20.0
149,lost horizon,science fiction & fantasy,45.0,20.0
150,the motel,comedy,64.0,88.0
151,the motel,drama,64.0,88.0
152,once in a lifetime: the extraordinary story of the new york cosmos,documentary,80.0,81.0
153,once in a lifetime: the extraordinary story of the new york cosmos,sports & fitness,80.0,81.0
154,requiem,art house & international,66.0,86.0
155,requiem,drama,66.0,86.0
156,requiem,horror,66.0,86.0
157,requiem,mystery & suspense,66.0,86.0
158,gui si (silk),art house & international,57.0,40.0
159,gui si (silk),horror,57.0,40.0
160,gui si (silk),mystery & suspense,57.0,40.0
161,park,art house & international,48.0,36.0
162,park,comedy,48.0,36.0
163,park,drama,48.0,36.0
164,the 4th dimension,drama,31.0,63.0
165,the 4th dimension,science fiction & fantasy,31.0,63.0
166,"bon cop, bad cop",action & adventure,82.0,78.0
167,"bon cop, bad cop",comedy,82.0,78.0
168,amazing grace,drama,85.0,67.0
169,amazing grace,mystery & suspense,85.0,67.0
170,the silence,action & adventure,38.0,50.0
171,the silence,drama,38.0,50.0
172,the silence,mystery & suspense,38.0,50.0
173,the silence,television,38.0,50.0
174,cocaine cowboys,documentary,79.0,69.0
175,gone,horror,20.0,54.0
176,gone,mystery & suspense,20.0,54.0
177,the situation,drama,58.0,35.0
178,the situation,mystery & suspense,58.0,35.0
181,four sheets to the wind,art house & international,61.0,100.0
182,four sheets to the wind,drama,61.0,100.0
183,the tiger's tail,comedy,30.0,14.0
184,the tiger's tail,drama,30.0,14.0
185,the tiger's tail,mystery & suspense,30.0,14.0
186,it's a boy girl thing,comedy,61.0,67.0
187,it's a boy girl thing,romance,61.0,67.0
188,slipstream,art house & international,29.0,25.0
189,slipstream,comedy,29.0,25.0
190,slipstream,drama,29.0,25.0
191,slipstream,science fiction & fantasy,29.0,25.0
192,delirious,comedy,57.0,83.0
193,delirious,drama,57.0,83.0
194,interview,art house & international,55.0,58.0
195,interview,drama,55.0,58.0
196,american anthem,action & adventure,65.0,0.0
197,american anthem,documentary,65.0,0.0
198,american anthem,drama,65.0,0.0
199,the ten,comedy,40.0,35.0
200,the happening,drama,24.0,17.0
201,the happening,mystery & suspense,24.0,17.0
202,the happening,science fiction & fantasy,24.0,17.0
203,molière,comedy,79.0,69.0
204,straightheads (closure),drama,32.0,40.0
205,straightheads (closure),mystery & suspense,32.0,40.0
206,borderland,drama,43.0,100.0
207,borderland,horror,43.0,100.0
208,borderland,mystery & suspense,43.0,100.0
209,spiral,drama,59.0,55.0
210,spiral,mystery & suspense,59.0,55.0
211,alexandra,drama,69.0,88.0
212,blood and tears: the arab-israeli conflict,documentary,33.0,50.0
213,the cool school,documentary,63.0,92.0
214,the cool school,musical & performing arts,63.0,92.0
215,pathology,drama,39.0,45.0
216,pathology,mystery & suspense,39.0,45.0
217,disney's a christmas carol,animation,58.0,52.0
218,disney's a christmas carol,drama,58.0,52.0
219,disney's a christmas carol,kids & family,58.0,52.0
220,disney's a christmas carol,science fiction & fantasy,58.0,52.0
221,deep water,documentary,87.0,96.0
222,deep water,special interest,87.0,96.0
223,road to victory,art house & international,78.0,78.0
224,road to victory,drama,78.0,78.0
225,road to victory,sports & fitness,78.0,78.0
226,beverly hills chihuahua,comedy,52.0,40.0
227,fireflies in the garden,drama,45.0,22.0
228,the eye,drama,43.0,21.0
229,the eye,horror,43.0,21.0
230,the eye,mystery & suspense,43.0,21.0
231,day of the dead,horror,22.0,13.0
232,day of the dead,mystery & suspense,22.0,13.0
233,my best friend's girl,comedy,46.0,14.0
234,my best friend's girl,drama,46.0,14.0
235,the burrowers,horror,34.0,75.0
236,the burrowers,mystery & suspense,34.0,75.0
237,the burrowers,western,34.0,75.0
238,the midnight meat train,drama,50.0,73.0
239,the midnight meat train,horror,50.0,73.0
240,the midnight meat train,mystery & suspense,50.0,73.0
241,the lucky ones,comedy,54.0,37.0
242,the lucky ones,drama,54.0,37.0
243,run fatboy run,comedy,64.0,47.0
244,closing escrow,comedy,36.0,54.0
245,whiteout,action & adventure,21.0,7.0
246,whiteout,drama,21.0,7.0
247,whiteout,mystery & suspense,21.0,7.0
248,randy and the mob,comedy,39.0,56.0
249,randy and the mob,documentary,39.0,56.0
250,black irish,drama,58.0,31.0
251,wild child,comedy,61.0,41.0
252,powder blue,drama,40.0,25.0
253,king corn,documentary,78.0,96.0
254,king corn,musical & performing arts,78.0,96.0
255,king corn,special interest,78.0,96.0
256,l' avocat de la terreur (terror's advocate),art house & international,67.0,87.0
257,l' avocat de la terreur (terror's advocate),documentary,67.0,87.0
258,l' avocat de la terreur (terror's advocate),special interest,67.0,87.0
259,darfur now,documentary,73.0,73.0
260,darfur now,drama,73.0,73.0
261,darfur now,musical & performing arts,73.0,73.0
262,darfur now,special interest,73.0,73.0
263,laaga chunari mein daag - journey of a woman,art house & international,58.0,50.0
264,laaga chunari mein daag - journey of a woman,drama,58.0,50.0
265,rails & ties,drama,58.0,34.0
266,mr. untouchable,documentary,54.0,73.0
267,house,drama,27.0,0.0
268,house,horror,27.0,0.0
269,house,mystery & suspense,27.0,0.0
270,canvas,drama,62.0,78.0
271,skid row,documentary,55.0,83.0
272,skid row,special interest,55.0,83.0
273,saawariya,art house & international,46.0,38.0
274,saawariya,drama,46.0,38.0
275,saawariya,musical & performing arts,46.0,38.0
276,saawariya,romance,46.0,38.0
277,aaja nachle,art house & international,72.0,67.0
278,aaja nachle,drama,72.0,67.0
279,aaja nachle,musical & performing arts,72.0,67.0
280,aaja nachle,romance,72.0,67.0
281,flawless,drama,54.0,55.0
282,flawless,mystery & suspense,54.0,55.0
283,what happens in vegas,comedy,65.0,26.0
284,what happens in vegas,romance,65.0,26.0
285,appaloosa,action & adventure,55.0,76.0
286,appaloosa,western,55.0,76.0
287,good,drama,32.0,32.0
288,the visitor,drama,84.0,89.0
289,meet bill,comedy,44.0,20.0
290,married life,comedy,36.0,54.0
291,married life,drama,36.0,54.0
292,married life,mystery & suspense,36.0,54.0
293,married life,romance,36.0,54.0
294,badland,drama,54.0,16.0
295,the oxford murders,art house & international,33.0,17.0
296,the oxford murders,drama,33.0,17.0
297,the oxford murders,horror,33.0,17.0
298,the oxford murders,mystery & suspense,33.0,17.0
299,untraceable,drama,52.0,16.0
300,untraceable,horror,52.0,16.0
301,untraceable,mystery & suspense,52.0,16.0
302,the informers,drama,18.0,12.0
303,the informers,mystery & suspense,18.0,12.0
304,meeting resistance,documentary,47.0,82.0
305,meeting resistance,special interest,47.0,82.0
306,the freshman,comedy,61.0,94.0
307,the freshman,drama,61.0,94.0
308,guta-yubalja-deul (a bloody aria),art house & international,40.0,42.0
309,guta-yubalja-deul (a bloody aria),drama,40.0,42.0
310,guta-yubalja-deul (a bloody aria),mystery & suspense,40.0,42.0
311,kenny,comedy,86.0,100.0
312,the rocker,comedy,46.0,41.0
313,the rocker,drama,46.0,41.0
314,the perfect holiday,kids & family,52.0,19.0
315,the perfect holiday,romance,52.0,19.0
316,la graine et le mulet (the secret of the grain) (couscous),art house & international,76.0,93.0
317,la graine et le mulet (the secret of the grain) (couscous),drama,76.0,93.0
318,land of the lost,action & adventure,32.0,26.0
319,land of the lost,comedy,32.0,26.0
320,land of the lost,science fiction & fantasy,32.0,26.0
321,[rec],art house & international,82.0,89.0
322,[rec],horror,82.0,89.0
323,[rec],special interest,82.0,89.0
324,look,comedy,56.0,60.0
325,look,drama,56.0,60.0
326,and god created woman,classics,33.0,38.0
327,and god created woman,comedy,33.0,38.0
328,and god created woman,drama,33.0,38.0
329,and god created woman,romance,33.0,38.0
330,the box,horror,24.0,44.0
331,the box,mystery & suspense,24.0,44.0
332,the box,science fiction & fantasy,24.0,44.0
333,man in the chair,comedy,68.0,50.0
334,man in the chair,drama,68.0,50.0
335,undoing,drama,26.0,31.0
336,undoing,mystery & suspense,26.0,31.0
337,black water,horror,39.0,80.0
338,black water,mystery & suspense,39.0,80.0
339,21,drama,66.0,35.0
340,21,mystery & suspense,66.0,35.0
341,the duchess of langeais (ne touchez pas la hache)(don't touch the axe),art house & international,52.0,70.0
342,the duchess of langeais (ne touchez pas la hache)(don't touch the axe),drama,52.0,70.0
343,the duchess of langeais (ne touchez pas la hache)(don't touch the axe),romance,52.0,70.0
344,ben x,art house & international,80.0,68.0
345,ben x,drama,80.0,68.0
346,ben x,mystery & suspense,80.0,68.0
347,body of lies,drama,62.0,55.0
348,body of lies,mystery & suspense,62.0,55.0
349,passengers,drama,35.0,19.0
350,passengers,mystery & suspense,35.0,19.0
351,the grand,comedy,43.0,40.0
352,the hammer,comedy,90.0,80.0
353,shutter,horror,33.0,9.0
354,shutter,mystery & suspense,33.0,9.0
355,priest,action & adventure,46.0,15.0
356,priest,horror,46.0,15.0
357,priest,mystery & suspense,46.0,15.0
358,priest,science fiction & fantasy,46.0,15.0
359,priest,western,46.0,15.0
360,the broken,horror,25.0,49.0
361,the broken,mystery & suspense,25.0,49.0
362,the escapist,art house & international,63.0,64.0
363,the escapist,mystery & suspense,63.0,64.0
364,sugar,drama,80.0,92.0
365,sugar,sports & fitness,80.0,92.0
366,quid pro quo,drama,54.0,61.0
367,quid pro quo,mystery & suspense,54.0,61.0
368,red,drama,68.0,70.0
369,red,mystery & suspense,68.0,70.0
370,the guitar,drama,55.0,33.0
371,the road,drama,68.0,73.0
372,the road,mystery & suspense,68.0,73.0
373,the road,science fiction & fantasy,68.0,73.0
374,g-force,action & adventure,39.0,22.0
375,g-force,comedy,39.0,22.0
376,g-force,kids & family,39.0,22.0
377,g-force,science fiction & fantasy,39.0,22.0
378,the other man,drama,18.0,15.0
379,the duchess,drama,67.0,62.0
380,the women,comedy,38.0,14.0
381,the women,drama,38.0,14.0
382,public enemies,action & adventure,59.0,68.0
383,public enemies,drama,59.0,68.0
384,night and day (bam gua nat),art house & international,68.0,93.0
385,night and day (bam gua nat),drama,68.0,93.0
386,julia,art house & international,67.0,72.0
387,julia,drama,67.0,72.0
388,julia,mystery & suspense,67.0,72.0
389,angel and the badman,classics,67.0,71.0
390,angel and the badman,western,67.0,71.0
391,angel and the badman,romance,67.0,71.0
392,fade to black,mystery & suspense,34.0,29.0
393,angel heart,drama,81.0,79.0
394,angel heart,mystery & suspense,81.0,79.0
395,old dogs,comedy,44.0,5.0
396,old dogs,drama,44.0,5.0
397,old dogs,kids & family,44.0,5.0
398,surrogates,action & adventure,38.0,37.0
399,surrogates,comedy,38.0,37.0
400,surrogates,mystery & suspense,38.0,37.0
401,surrogates,science fiction & fantasy,38.0,37.0
402,the promotion,comedy,28.0,53.0
403,notorious,drama,65.0,52.0
404,notorious,musical & performing arts,65.0,52.0
405,soul men,comedy,58.0,46.0
406,soul men,musical & performing arts,58.0,46.0
407,igor,animation,38.0,39.0
408,igor,comedy,38.0,39.0
409,igor,kids & family,38.0,39.0
410,the matador,documentary,65.0,73.0
411,the matador,special interest,65.0,73.0
412,the auteur,comedy,41.0,67.0
413,the caller,drama,19.0,13.0
414,the caller,mystery & suspense,19.0,13.0
415,sin nombre,drama,89.0,88.0
416,sin nombre,mystery & suspense,89.0,88.0
417,das haus der schlafenden schönen (house of the sleeping beauties),art house & international,17.0,28.0
418,das haus der schlafenden schönen (house of the sleeping beauties),drama,17.0,28.0
419,the stone angel,drama,58.0,44.0
420,alvin and the chipmunks: the squeakquel,animation,49.0,20.0
421,alvin and the chipmunks: the squeakquel,comedy,49.0,20.0
422,alvin and the chipmunks: the squeakquel,kids & family,49.0,20.0
423,un conte de noël (a christmas tale),art house & international,66.0,86.0
424,un conte de noël (a christmas tale),comedy,66.0,86.0
425,un conte de noël (a christmas tale),drama,66.0,86.0
426,the rebound,comedy,46.0,41.0
427,the rebound,romance,46.0,41.0
429,"1,000 times good night",drama,65.0,71.0
430,harold,comedy,41.0,31.0
431,push,mystery & suspense,42.0,23.0
432,push,science fiction & fantasy,42.0,23.0
433,felon,action & adventure,82.0,63.0
434,felon,drama,82.0,63.0
435,felon,mystery & suspense,82.0,63.0
436,scar,drama,11.0,0.0
437,scar,horror,11.0,0.0
438,scar,mystery & suspense,11.0,0.0
439,the unborn,horror,30.0,10.0
440,the unborn,mystery & suspense,30.0,10.0
441,bitch slap,action & adventure,29.0,29.0
442,forever strong,drama,75.0,29.0
443,chocolate,action & adventure,73.0,74.0
444,chocolate,art house & international,73.0,74.0
445,fireproof,drama,82.0,38.0
446,dostana,art house & international,68.0,87.0
447,dostana,comedy,68.0,87.0
448,the garden,documentary,85.0,79.0
449,the garden,special interest,85.0,79.0
450,splinter,horror,49.0,73.0
451,splinter,mystery & suspense,49.0,73.0
452,leaves of grass,comedy,49.0,61.0
453,leaves of grass,drama,49.0,61.0
454,leaves of grass,mystery & suspense,49.0,61.0
455,rab ne bana di jodi (a couple made by god) (a match made in heaven),romance,71.0,78.0
456,the proposal,comedy,67.0,45.0
457,the proposal,romance,67.0,45.0
458,gigantic,comedy,34.0,36.0
459,gigantic,romance,34.0,36.0
460,fuel,documentary,82.0,72.0
